site_id,FType,FCode,x,y,area_m2,lon,lat,elevation
nhdhr_{4A47E00E-20C1-4BB8-93B8-D9D6968DF861},390,39004,419,149,57884.0796093605,-72.5425264865424,43.633790936107054,350
nhdhr_{D6A26DD1-DC74-44B3-B228-BE93010CCE83},390,39004,422,156,96388.6396121811,-72.16654862756147,44.52926160322016,702
nhdhr_135998727,390,39009,423,145,303757.722622948,-72.08533962947311,43.183262821869285,435
nhdhr_120803373,390,39009,423,147,381966.482978479,-72.04203154503206,43.48933292132488,422
nhdhr_120802731,390,39009,423,149,1178804.00774225,-72.03478506547546,43.66788673301215,348
nhdhr_120802664,390,39009,423,150,639924.669182453,-72.04192359855925,43.786413531801834,409
nhdhr_135999613,390,39009,424,142,517081.555706047,-71.99890348939,42.77175863608942,360
nhdhr_135998920,390,39009,424,144,167053.821172297,-71.99148138898582,43.09933709076189,351
nhdhr_{AEAC2200-91F2-465E-AB75-C5FC64C8BE4A},390,39004,424,156,42926.147617708,-71.91557779245346,44.50876729437405,489
nhdhr_135998550,390,39009,425,145,157282.933953904,-71.77559449495206,43.19190048041654,168
nhdhr_92797431,390,39009,425,150,490818.059260061,-71.75437307779671,43.79516701936609,148
nhdhr_107204207,390,39009,427,149,372714.905145286,-71.55880573590608,43.689819872907755,181
nhdhr_107204017,390,39009,428,150,413274.000222958,-71.41168058444134,43.751322898131015,160
nhdhr_107204235,390,39009,429,148,1342963.23490249,-71.26467185909034,43.623757449696164,155
nhdhr_{96DEF805-2261-4F63-BC83-2CC86550DA02},390,39004,417,145,793999.806850424,-72.87439819794889,43.171805852438844,413
nhdhr_120804340,390,39009,423,147,16690773.3763459,-72.05414532167404,43.38084412993647,332
nhdhr_135998471,390,39009,424,145,1654268.95070356,-71.91299155715303,43.24310587703967,192
nhdhr_107204653,390,39009,429,148,184807506.540505,-71.34397173997787,43.61446079045998,153
nhdhr_{22EDCC41-568F-40C2-B994-F3AA2E9DB28A},390,39004,416,144,67891.6126336083,-72.94168547211143,43.12355101238987,754
nhdhr_{E93E9644-8D0B-4E4B-8987-E9F7143805FC},390,39004,416,144,68298.3958451375,-72.89788998924307,43.12262247342239,518
nhdhr_{50AC4529-7A81-4DC9-80E1-7E15AEFC5CB1},390,39004,419,146,388624.392894782,-72.50654267044838,43.346047576597186,143
nhdhr_{E3182469-0928-4856-943A-515FF3B6B73D},390,39004,422,151,69257.4351471476,-72.23651987494404,43.91770248849016,212
nhdhr_{B38EAAF2-7AEB-4D0B-BBEF-B0A00E737B39},390,39004,422,152,46633.7815363146,-72.16609766325979,44.10432080682606,423
nhdhr_120803707,390,39009,422,147,285877.214196676,-72.1444613053329,43.44691941654037,322
nhdhr_120804253,390,39009,423,146,468318.808027949,-72.07971697819356,43.34540410959977,339
nhdhr_135999189,390,39009,424,143,159403.829114104,-71.98435382867554,42.976316656145315,252
nhdhr_87403617,390,39009,424,152,129671.570876364,-71.96847701107747,44.100989065748934,233
nhdhr_92798331,390,39009,424,148,226019.289103232,-71.8960134001486,43.51740324726098,344
nhdhr_92798245,390,39009,426,147,172382.538077128,-71.64805692112073,43.491397952272564,124
nhdhr_92798019,390,39009,427,148,895816.406508921,-71.60874342155213,43.563348667683485,190
nhdhr_92797895,390,39009,427,148,1004456.63738906,-71.59467727227161,43.61507688309304,171
nhdhr_87402081,390,39009,427,155,520261.415205621,-71.60615163270643,44.44213844462934,325
nhdhr_107204745,390,39009,427,148,65383.6721005961,-71.55881442218437,43.50416413726601,242
nhdhr_107204379,390,39009,427,148,1419322.1978807,-71.55221887034459,43.614671950568415,153
nhdhr_76910219,390,39009,424,151,1354535.08040036,-71.9630598953791,43.97565944388887,400
nhdhr_92798357,390,39009,426,147,2449496.81970373,-71.68621110958374,43.469666665336774,121
nhdhr_92797659,390,39009,427,150,27504982.4140212,-71.52459226821249,43.75088458071493,170
nhdhr_{E1EE0750-3B65-474A-96B2-B00C8CA4FA89},390,39004,424,154,2188796.46188211,-71.98654791195297,44.33376548388575,197
nhdhr_{9FD1BF9C-A06C-4C04-BA7A-10FED2C6AA4E},390,39004,418,145,128730.252737133,-72.73143408199947,43.152713239962225,494
nhdhr_{2600EA68-3330-468F-B093-E7DB8DD60BFC},390,39004,418,147,141664.41991966,-72.69801913495259,43.438571777451614,316
nhdhr_{F5E0CE30-5285-4F99-A9D1-B6E946773334},390,39004,419,143,87770.5181194134,-72.6123001432758,42.88462870966083,194
nhdhr_{B6E7B9C9-3D95-43FC-9A84-8613E8CC5724},390,39004,421,154,448657.450498432,-72.31791725822114,44.295507200621394,441
nhdhr_{18C658FF-BE73-4560-B971-74A9FE1535CB},390,39004,422,150,173367.697222186,-72.23492909203092,43.83228309237266,255
nhdhr_{90AF5C18-7961-477C-998A-8D4AEBB0EEC7},390,39004,422,154,86476.5506237298,-72.22741916916743,44.266161401823766,498
nhdhr_135999329,390,39009,423,143,771495.16538208,-72.07590616182823,42.93774977949088,365
nhdhr_120803611,390,39004,423,147,335106.552573561,-72.08090886785445,43.45082023344924,385
nhdhr_135998762,390,39009,423,145,778612.8145922,-72.06560422419969,43.1770267870698,427
nhdhr_135999478,390,39009,423,142,1019856.55517162,-72.05533540256982,42.85702907387212,352
nhdhr_{22431A17-1807-4885-BFD8-2BF53521E448},390,39004,423,157,40384.8042137437,-72.05964582058944,44.69972740361644,483
nhdhr_120802953,390,39004,423,148,1302142.29990196,-72.03587703794531,43.57904897972846,381
nhdhr_135998710,390,39009,424,145,379043.776769495,-71.96568427490392,43.167822754455194,265
nhdhr_87402769,390,39009,424,154,225118.471667621,-71.91762835038531,44.28550360595117,280
nhdhr_135995067,390,39009,424,147,125358.191902246,-71.91432371969175,43.41564260643263,215
nhdhr_135996307,390,39009,425,146,221249.928285534,-71.80282810620395,43.3384249273513,205
nhdhr_{17D46EDF-1F53-44BA-AF09-990A8A747210},390,39004,426,156,95377.081711987,-71.73864022085009,44.57911622502871,467
nhdhr_135996327,390,39009,426,146,828428.58672599,-71.68502771062785,43.31576892141596,154
nhdhr_87402177,390,39009,427,155,220698.98804041,-71.60750615067987,44.387440578299284,315
nhdhr_107204877,390,39009,428,147,328198.190210026,-71.40471190560687,43.449780794677686,314
nhdhr_107204337,390,39009,430,148,968629.469735716,-71.16806256160586,43.56351257691327,176
nhdhr_167667219,390,39004,400,119,139564.684113558,-74.95852919208606,39.95117572684983,10
nhdhr_167668339,390,39004,403,119,490061.134656281,-74.56605421013059,39.973111497609466,19
