,site_id,FType,FCode,x,y,area_m2,lon,lat,elevation
11979,nhdhr_75651917,390,39004,287,163,3098921.50764693,-89.08526892150469,45.459569261347845,463
11814,nhdhr_69546231,390,39004,262,167,3103146.50219254,-92.147121426176,45.94991430996868,306
9153,nhdhr_120019086,390,39004,263,185,3104263.28187032,-92.10622693187477,48.224301229363356,378
7364,nhdhr_45337381,390,39004,241,160,3108786.72825824,-94.86544915655807,45.08070251167964,337
11093,nhdhr_58227964,390,39009,115,124,3109987.04317684,-110.50483750512352,40.579587898294136,2465
447,nhdhr_{F0933AEB-4DB7-4C13-B91F-F9FDA070AA50},390,39004,145,122,3110151.6857788996,-106.85507667315436,40.27822905421083,2176
9771,nhdhr_149007136,390,39004,219,137,3111666.21851537,-97.57520100080822,42.176424924220974,497
9144,nhdhr_106352151,390,39004,260,186,3113426.63685506,-92.48850099708271,48.33650568288187,343
9737,nhdhr_56776631,390,39009,126,163,3114467.72925711,-109.2222588560384,45.44396675604077,1296
4084,nhdhr_117626559,390,39004,290,173,3115187.65882028,-88.68364698029751,46.70507965421381,230
3395,nhdhr_{FE85533D-5FB3-4D74-8D10-82219E761BF7},390,39004,422,157,3118872.73385136,-72.15397595220736,44.733376583195664,287
5636,nhdhr_120019095,390,39004,263,185,3121044.99025802,-92.00859007801273,48.18813649302061,380
3231,nhdhr_31962626,390,39009,303,96,3122969.02702486,-87.0498224408773,37.05739317899038,162
5644,nhdhr_80995245,390,39004,271,184,3124659.83254833,-91.06668680134548,48.093495315732405,451
1861,nhdhr_125957328,390,39004,343,38,3127589.34860288,-82.02007744155692,29.765845574761897,25
970,nhdhr_167753323,390,39009,345,33,3129036.08474848,-81.86035359920919,29.14439427622385,14
11625,nhdhr_147704015,390,39004,29,156,3131082.66210964,-121.2687890893967,44.54722556331035,593
8009,nhdhr_{FC091A8F-FC45-46C0-91F9-18379CF0EAAE},390,39004,258,181,3132088.61722839,-92.63518444936669,47.648664274026785,446
3476,nhdhr_{B0EE33B2-6711-4C98-9A69-D26B8B68E733},390,39004,423,159,3135818.43760224,-72.10254270078667,44.92721403187046,292
12273,nhdhr_74719139,390,39004,274,155,3142455.88168979,-90.7081722325473,44.42376954458247,269
10438,nhdhr_141326931,390,39004,351,86,3142764.29383611,-81.10128941499683,35.77023014116836,255
10823,nhdhr_99701370,390,39004,355,124,3144456.85055276,-80.51442554693685,40.616196171850795,331
452,nhdhr_64463980,390,39009,140,107,3149111.40866225,-107.47086058779209,38.44713297976856,2213
3098,nhdhr_149411188,390,39004,223,93,3151409.28381488,-97.0252002435046,36.73012766552411,308
10790,nhdhr_155245350,390,39004,341,125,3154845.56042444,-82.34498332627244,40.639466942219954,309
4435,nhdhr_118253503,390,39004,328,154,3154959.04048296,-83.94487559265734,44.351010784678536,260
2938,nhdhr_{06F93A13-5AFB-4691-8F39-5140F8986BFE},390,39004,249,126,3158201.77199598,-93.77917231599774,40.77242334856001,315
10669,nhdhr_145416996,390,39004,201,174,3158839.98523637,-99.77519274765964,46.826975030612395,525
11621,nhdhr_146299651,390,39004,19,137,3160313.5255305,-122.60779709686457,42.1476088682954,749
7357,nhdhr_91574855,390,39004,246,152,3161578.29748834,-94.1774666058283,44.09901429285928,297
6499,nhdhr_34242920,390,39004,250,154,3161629.87601401,-93.72626442170107,44.275134295051,310
9080,nhdhr_120019864,390,39004,247,162,3163322.66155867,-94.06463550705459,45.26927902391999,303
4869,nhdhr_109945392,390,39004,309,172,3166811.63225991,-86.34100951396601,46.567483218034326,184
2483,nhdhr_149995432,436,43600,284,111,3169071.5468929,-89.38086581952993,38.942855039662405,167
4401,nhdhr_123397925,390,39004,284,169,3169430.09951523,-89.44672468887316,46.20015845293653,512
6864,nhdhr_69544907,390,39004,267,170,3169492.02715914,-91.55106115576449,46.27324284983323,341
4734,nhdhr_150436722,390,39004,317,150,3172954.62418,-85.29755751228545,43.754521045118274,324
11620,nhdhr_124284152,390,39009,7,151,3176929.43672152,-124.10021363739284,43.91540590568322,12
7402,nhdhr_91682839,390,39004,259,163,3179497.22702258,-92.52276211229905,45.402664456284704,338
4605,nhdhr_148710305,390,39004,329,142,3180189.36944153,-83.82587214949476,42.782023260861656,260
563,nhdhr_131295184,390,39004,163,97,3182030.99211184,-104.57339756018357,37.13743969377396,1899
11447,nhdhr_69727741,390,39009,212,45,3182655.79231931,-98.3819679419356,30.743581356101448,275
2459,nhdhr_120024035,390,39004,331,83,3185306.34908153,-83.56287385412391,35.44487586822222,507
4387,nhdhr_69885442,390,39004,278,168,3186020.30389828,-90.15476079402544,46.11431526797423,479
8533,nhdhr_91598525,390,39004,251,156,3187404.87960181,-93.5234478738888,44.590069532490475,287
11252,nhdhr_{CB797A2A-6B0B-431B-82BE-845522217773},390,39004,421,156,3188164.34463376,-72.3093553082854,44.585560727280566,426
10764,nhdhr_145413172,390,39004,204,176,3190008.03558499,-99.45190589274176,47.05057180281822,530
4739,nhdhr_109943604,390,39004,314,173,3190429.50577248,-85.63318880971734,46.669858144472855,192
5581,nhdhr_59748471,390,39004,247,170,3190871.17130291,-94.03764618204538,46.31028654529138,364
8564,nhdhr_120020412,390,39004,265,180,3195474.20885658,-91.85130815100494,47.53078851152818,515
