,site_id,x,y,area_m2,lon,lat,log_area,cluster
2863,nhdhr_132542825,236,148,886158.059287813,-0.5078390912485717,0.39090481747042666,0.27893538371588006,1
2864,nhdhr_118874447,239,150,326054.590788454,-0.4685506466061395,0.43108227050499626,-0.3291791422679872,13
2865,nhdhr_118874571,242,149,268379.19987423,-0.43276367250487985,0.4261099866776588,-0.44757716631884004,13
2866,nhdhr_120871529,243,148,1738940.67640349,-0.4213607481549369,0.4068122587222333,0.6889568153297092,1
2867,nhdhr_154664683,244,130,111226.081834204,-0.41400998599146877,0.052205628114328655,-0.9833171381930018,0
2868,nhdhr_120020683,244,148,1293885.56340753,-0.41416421290448935,0.4001160695546596,0.5091516526805326,1
2869,nhdhr_133534596,251,130,454424.54336758103,-0.32890826721173083,0.051217130664733684,-0.12727093210107565,13
2870,nhdhr_159238674,252,148,1895221.99362904,-0.3174849040742109,0.39179913117258175,0.7412999365761164,1
2871,nhdhr_132542599,235,148,4759322.11986776,-0.521968728616012,0.4014374640482336,1.3013280238855514,15
2872,nhdhr_120020695,242,149,1668026.3934951,-0.4397196685689546,0.42634605169543033,0.6636336786577445,1
2873,nhdhr_120020686,245,148,2042955.31497896,-0.40305171652166727,0.3969981944761968,0.7869536415245073,1
2874,nhdhr_155098136,267,134,12875866.9452271,-0.1361712624652468,0.12707567869223388,1.9066563208508627,15
2875,nhdhr_88305898,228,139,164269.76297555902,-0.6052767748345874,0.2286066370343358,-0.7461456783095347,0
2876,nhdhr_127585516,234,149,298446.118103832,-0.530372209079483,0.41504233981152877,-0.3829914487647328,13
2877,nhdhr_132542268,238,149,92913.1852569431,-0.481971209460411,0.41147437254977587,-1.0927350842929298,0
2878,nhdhr_149310040,242,128,318771.949866783,-0.43626276261768243,0.007986842431779013,-0.342918089263215,13
2879,nhdhr_120871575,242,148,1056013.21036459,-0.4301555636065478,0.39495709997352574,0.3855928155437817,1
2880,nhdhr_120020692,244,148,735296.655462105,-0.41344943917909005,0.40710692762587547,0.1654290215233481,13
2881,nhdhr_133529131,248,131,901305.195987718,-0.3600908946808898,0.0798061601348662,0.28924382038311025,5
2883,nhdhr_122934081,271,148,159399.817865926,-0.0811269627343628,0.40834757180372017,-0.7644495914175093,0
2884,nhdhr_88306130,229,138,1006541.9820104,-0.5914495688565207,0.2085100323340523,0.35641052290985276,1
2885,nhdhr_120020688,244,149,906172.7048060609,-0.413037793163954,0.4144694529602282,0.2925196687425797,1
2886,nhdhr_118875451,244,148,2705664.26305475,-0.4126154473319803,0.39122109735289806,0.9578323847829444,1
2888,nhdhr_130997497,227,147,396421.51757128397,-0.6196334689355579,0.38119837376360877,-0.21032535564099833,13
2889,nhdhr_74256176,230,129,952013.059758978,-0.5764380810879453,0.04052725591021158,0.3225345034811095,1
2891,nhdhr_132542795,235,148,764325.5369534291,-0.5121740936131907,0.39252237401719653,0.1889790635529198,13
2892,nhdhr_132542729,239,148,470704.764551891,-0.47509316856261974,0.3948277468490555,-0.105862163525735,13
2893,nhdhr_118874581,241,149,671488.7509018821,-0.44564970416747435,0.42643492203481626,0.11021699284333385,13
2894,nhdhr_120020685,244,148,997689.3386853341,-0.4127576722367452,0.39378055581786264,0.3510375217355491,1
2895,nhdhr_149308853,244,129,82508.6224387512,-0.40991479564669,0.03706598956069474,-1.164968688696287,0
2897,nhdhr_133529821,251,131,55894.6498388946,-0.32497997322336103,0.0741705990058062,-1.4018293899683612,0
2899,nhdhr_159101702,252,149,461657.124569025,-0.3124106392089886,0.4181925181985549,-0.1176668218083128,13
2901,nhdhr_130698201,259,148,144770.28805867198,-0.22609286932187714,0.3947791689707329,-0.8230010941191607,0
2902,nhdhr_152819470,264,128,99446.2955040163,-0.17174632107836452,0.009918652024083928,-1.051405365732815,12
2904,nhdhr_74255816,231,130,1389086.31448706,-0.5651376858924546,0.060384326420901815,0.5523329425751352,1
2905,nhdhr_132542447,235,148,3023752.70973305,-0.5173608641728171,0.40340819392574256,1.0254365197180864,1
2906,nhdhr_132542563,236,148,3660211.5247403,-0.5056644459353961,0.39976813098585756,1.141619623163782,1
2907,nhdhr_132542817,238,148,2413316.24893723,-0.47628475977702606,0.3913798116716163,0.888285369310829,1
2908,nhdhr_132543137,239,147,22095561.2964284,-0.47316269142997974,0.38720629036750653,2.2351071903985447,15
2910,nhdhr_147257245,255,126,56332790.75395071,-0.27291547635076513,-0.013692133927575463,2.804338087654013,9
2911,nhdhr_137043791,240,141,656881.6875429,-0.45439991981453126,0.2727840289206865,0.09684025532443678,13
