,site_id,rmse,rmse_prev,rmse_improve,FType,FCode
801,nhdhr_118874865,1.1313110665227943,1.1707307231078907,-0.039419656585096385,390,39004
802,nhdhr_121629704,3.310182571411133,3.1714439392089844,0.13873863220214844,390,39004
803,nhdhr_159101704,5.312786683887306,5.387275581746565,-0.0744888978592595,390,39004
804,nhdhr_130996742,0.7008323063196655,0.6377346620479443,0.06309764427172126,390,39009
805,nhdhr_120871567,1.580131742493556,1.5500367928604193,0.030094949633136636,390,39004
806,nhdhr_118874243,1.4953424704070855,1.010636661257402,0.4847058091496834,390,39004
807,nhdhr_130994627,1.0202549116716275,1.051168241586435,-0.03091332991480744,390,39009
808,nhdhr_132542329,1.5083452209341832,1.3182265417548742,0.19011867917930902,390,39004
809,nhdhr_132543172,3.1505143501513375,1.3881684605381317,1.7623458896132058,390,39004
810,nhdhr_120871550,0.667380094853881,0.9604899117899852,-0.2931098169361043,390,39004
811,nhdhr_118603427,2.1259417435320693,2.2860225370846807,-0.1600807935526114,390,39004
812,nhdhr_88305904,0.9098529815673828,1.0346317291259766,-0.12477874755859375,390,39004
813,nhdhr_133402968,0.36101722717285156,1.7689495086669922,-1.4079322814941406,390,39004
814,nhdhr_121629760,1.0765660106973032,1.0541026996280674,0.022463311069235825,390,39004
815,nhdhr_120827396,1.0974502563476562,0.6129951477050781,0.4844551086425781,390,39004
816,nhdhr_147256466,1.5887949242782196,1.2908626521189348,0.29793227215928475,390,39004
817,nhdhr_{B1F23A35-99B2-4C78-BC77-744EA6D56AE6},3.008089065551758,0.8814659118652344,2.1266231536865234,390,39001
818,nhdhr_152819332,1.0311139216694094,0.631608853644836,0.3995050680245734,390,39004
819,nhdhr_{E2B9C82F-69BB-48FD-BBDD-E21B1CDC68D7},0.6764336883574694,1.14186707453232,-0.46543338617485064,390,39004
820,nhdhr_149773168,0.876771350447014,0.3834596064811584,0.49331174396585564,390,39004
821,nhdhr_131488353,1.5261821746826172,0.2510242462158203,1.2751579284667969,390,39004
822,nhdhr_34713830,1.7192885996624656,1.2747594632873438,0.4445291363751218,390,39004
823,nhdhr_135039628,1.6040199563155622,1.969994590636076,-0.3659746343205139,390,39004
824,nhdhr_120031297,2.9124112164155433,2.6840370838025454,0.228374132612998,390,39004
825,nhdhr_120031583,0.7267227172851562,1.0386848449707031,-0.3119621276855469,390,39004
826,nhdhr_150299096,0.6360794956590521,1.0267710755360149,-0.3906915798769628,390,39000
827,nhdhr_50470878,1.4688434600830078,1.407684326171875,0.06115913391113281,390,39004
828,nhdhr_36928722,1.7837240330472799,1.6888241259865189,0.09489990706076101,390,39004
829,nhdhr_148574526,0.7137354051424385,1.1555008861741989,-0.4417654810317604,390,39004
830,nhdhr_149834109,1.2464266506342687,0.6020156970953711,0.6444109535388977,390,39004
831,nhdhr_51967656,1.5843979827816312,1.3464896011719087,0.2379083816097225,390,39004
832,nhdhr_138873808,1.5027722058223538,1.5703041390517825,-0.06753193322942863,390,39004
833,nhdhr_120031254,2.0514213419428184,1.6784327183761252,0.37298862356669327,390,39004
834,nhdhr_149273563,1.783785614837609,1.909003451885624,-0.12521783704801503,390,39004
835,nhdhr_134329350,1.8693253385780983,1.7489192007728656,0.1204061378052328,390,39004
836,nhdhr_{DFABA570-6A89-496C-96BC-F1941049AC20},1.7490187430819224,1.2416940775115792,0.5073246655703432,390,39001
837,nhdhr_167676741,1.866448522934888,1.939663369917065,-0.07321484698217695,390,39004
838,nhdhr_131487745,1.4320690232399602,1.193512017817406,0.2385570054225543,390,39004
839,nhdhr_120031268,1.2913919139681864,1.6225513377343572,-0.3311594237661708,390,39004
840,nhdhr_149772941,1.3299479831519119,1.8793936963981284,-0.5494457132462165,390,39004
841,nhdhr_34595956,0.0065326690673828125,0.8361949920654297,-0.8296623229980469,390,39004
842,nhdhr_36912082,1.7918701171875,1.248250961303711,0.5436191558837891,390,39004
843,nhdhr_144399767,1.1813024817816815,1.4062997057709952,-0.22499722398931365,390,39004
844,nhdhr_120021285,1.4614302473528182,0.7066864371470646,0.7547438102057537,390,39004
845,nhdhr_152489794,0.8524341583251953,1.9664878845214844,-1.114053726196289,390,39009
846,nhdhr_31963442,1.7692338924368542,2.138235263147489,-0.36900137071063477,390,39004
847,nhdhr_56131419,2.28563216075382,0.5475965563642945,1.7380356043895255,390,39004
848,nhdhr_49317305,0.5290069580078125,0.39591407775878906,0.13309288024902344,390,39004
849,nhdhr_31882703,1.2448818621948237,4.015379713105527,-2.7704978509107034,390,39004
850,nhdhr_37899857,4.967110207275034,5.147663577739697,-0.18055337046466224,390,39004
851,nhdhr_120021228,4.934181107790071,5.602141888455926,-0.6679607806658554,390,39009
852,nhdhr_56133418,1.4773731231689453,1.816335678100586,-0.3389625549316406,390,39004
853,nhdhr_31881748,5.926837572339095,5.770003868436217,0.15683370390287799,390,39009
854,nhdhr_40495304,2.8890477252077886,2.7468205632814384,0.1422271619263502,390,39009
855,nhdhr_34107199,6.583249241086279,5.394166325730271,1.1890829153560079,390,39004
856,nhdhr_38475234,6.112309232310439,5.053731663601051,1.0585775687093877,390,39009
857,nhdhr_26852502,2.5864726092191894,2.201217883306049,0.38525472591314047,390,39006
858,nhdhr_155918431,0.6423015594482422,0.4215908050537109,0.2207107543945313,390,39009
859,nhdhr_37900780,0.7660272594005189,1.4638383127050871,-0.6978110533045683,390,39009
860,nhdhr_120021767,0.8487035704987494,1.4585022878372231,-0.6097987173384737,390,39009
861,nhdhr_32031716,1.5117853444790552,1.1728829051978271,0.3389024392812281,390,39004
862,nhdhr_167790445,1.6876547980972225,1.0535530849209696,0.634101713176253,390,39004
863,nhdhr_37900682,5.669646433036,5.8519409434379455,-0.18229451040194533,390,39009
864,nhdhr_37899948,5.19913387298584,3.464008331298828,1.7351255416870117,390,39011
865,nhdhr_{13c737fd-517c-4f34-b813-79a31e833683},3.308618325503962,1.9804124409374584,1.3282058845665037,390,39004
866,nhdhr_56130074,2.6901893615722656,0.6712493896484375,2.018939971923828,390,39004
867,nhdhr_34805603,1.7699125529216255,1.4270476025752834,0.3428649503463421,390,39009
